Character,Word,Word Count
Burt,mmm,1
Burt,month,1
Burt,more,4
Burt,most,1
Burt,mouth,1
Burt,mr,2
Burt,much,2
Burt,must,2
Burt,my,17
Burt,name,2
Burt,names,1
Burt,nap,1
Burt,nearly,1
Burt,need,1
Burt,nervous,1
Burt,nest,1
Burt,never,5
Burt,new,5
Burt,next,1
Burt,nice,1
Burt,night,3
Burt,no,11
Burt,noblest,1
Burt,not,6
Burt,now,7
Burt,obviously,1
Burt,of,32
Burt,off,2
Burt,offer,1
Burt,offspring,1
Burt,oh,1
Burt,okay,6
Burt,old,2
Burt,on,10
Burt,once,3
Burt,one,4
Burt,ones,1
Burt,only,1
Burt,open,2
Burt,opposite,1
Burt,optics,3
Burt,or,9
Burt,original,1
Burt,oswald,1
Burt,other,4
Burt,our,3
Burt,out,5
Burt,outie,1
Burt,output,1
Burt,over,2
Burt,paint,1
Burt,painting,1
Burt,paintings,1
Burt,part,2
Burt,participated,1
Burt,partners,1
Burt,party,1
Burt,pastor,1
Burt,people,5
Burt,perpetuity,1
Burt,personally,1
Burt,physical,1
Burt,piece,1
Burt,pieces,1
Burt,place,2
Burt,places,1
Burt,planning,1
Burt,please,1
Burt,pleasure,1
Burt,plugging,1
Burt,point,2
Burt,possible,1
Burt,pouches,1
Burt,predecessor,1
Burt,pressed,1
Burt,pretend,1
Burt,probably,1
Burt,questions,1
Burt,quirk,1
Burt,quite,1
Burt,raising,1
Burt,rare,1
Burt,really,1
Burt,reason,1
Burt,recent,1
Burt,recollection,1
Burt,red,1
Burt,refinement,2
Burt,refreshing,1
Burt,reissue,1
Burt,remain,1
Burt,remember,1
Burt,remiss,1
Burt,replaces,1
Burt,reversed,1
Burt,ride,2
Burt,right,5
Burt,romantic,1
Burt,room,1
Burt,rotation,1
Burt,run,1
Burt,safe,1
Burt,said,3
Burt,satisfied,1
Burt,say,7
Burt,saying,1
Burt,scare,1
Burt,scoundrel,1
Burt,screaming,1
Burt,secret,1
Burt,see,6
Burt,seemed,1
Burt,sentiment,1
Burt,sermon,1
Burt,session,2
Burt,seven,1
Burt,several,1
Burt,severance,1
Burt,severed,1
Burt,shall,3
Burt,she,1
Burt,ship,1
Burt,should,3
Burt,show,3
Burt,shows,1
Burt,silly,1
Burt,sir,1
Burt,sit,1
Burt,sitting,1
Burt,sleep,1
Burt,so,10
Burt,solve,1
Burt,some,4
Burt,somebody,1
Burt,somehow,1
Burt,someone,1
Burt,something,1
Burt,sometimes,1
Burt,soon,1
Burt,sophisticate,1
Burt,sorry,4
Burt,sounds,1
Burt,speak,1
Burt,specific,1
Burt,spirit,1
Burt,standing,1
Burt,stay,2
Burt,stewman,1
Burt,still,2
Burt,stings,1
Burt,stops,1
Burt,storeroom,1
Burt,stories,1
Burt,strange,1
Burt,stupid,1
Burt,such,1
Burt,summits,1
Burt,sunday,1
Burt,supplies,1
Burt,supply,1
Burt,sure,2
Burt,surely,1
Burt,swab,1
Burt,take,1
Burt,talk,2
Burt,teachings,1
Burt,teasing,1
Burt,tell,1
Burt,ten,1
Burt,tending,1
Burt,than,2
Burt,thank,5
Burt,thanks,2
Burt,that,22
Burt,the,50
Burt,them,6
Burt,then,5
Burt,theory,1
Burt,there,6
Burt,they,6
Burt,thing,3
Burt,things,1
Burt,think,7
Burt,thinking,1
Burt,thinks,1
Burt,this,11
Burt,those,1
Burt,though,5
Burt,thoughts,1
Burt,thrill,1
Burt,through,5
Burt,thrown,1
Burt,time,2
Burt,tired,1
Burt,to,39
Burt,today,1
Burt,tomorrow,3
Burt,too,3
Burt,totes,3
Burt,tour,1
Burt,train,1
Burt,travels,1
Burt,trip,2
Burt,true,1
Burt,trust,2
Burt,truth,1
Burt,turned,1
Burt,two,1
Burt,unaccessible,1
Burt,unaware,1
Burt,understand,1
Burt,unknown,1
Burt,unsanctioned,1
Burt,up,5
Burt,upstairs,1
Burt,us,6
Burt,used,2
Burt,valuable,1
Burt,veins,1
Burt,very,3
Burt,view,1
Burt,visit,1
Burt,vista,1
Burt,voice,1
Burt,voyage,1
Burt,wait,1
Burt,wanna,4
Burt,want,3
Burt,wanted,1
Burt,warm,1
Burt,was,14
Burt,way,3
Burt,ways,1
Burt,we,26
Burt,weakness,1
Burt,weeks,1
Burt,weird,1
Burt,welcome,3
Burt,well,7
Burt,were,3
Burt,what,12
Burt,whatever,1
Burt,when,7
Burt,where,3
Burt,which,3
Burt,while,2
Burt,whilst,1
Burt,whisper,2
Burt,who,3
Burt,whole,1
Burt,why,4
Burt,wife,1
Burt,will,6
Burt,wine,1
Burt,wing,2
Burt,wish,1
Burt,with,16
Burt,wonderful,1
Burt,word,1
Burt,words,1
Burt,work,4
Burt,worked,3
Burt,worker,1
Burt,workers,1
Burt,working,1
Burt,would,5
Burt,wrong,2
Burt,ye,2
Burt,yeah,6
Burt,years,6
Burt,yep,1
Burt,yes,4
Burt,yesterday,1
Burt,yet,3
Burt,you,76
Burt,younger,1
Burt,your,12
Burt,youthful,1
Camera Woman,ready,1
Cecily,be,1
Cecily,did,1
Cecily,dr,1
Cecily,dressed,1
Cecily,everything,1
Cecily,fine,1
Cecily,fuck,1
Cecily,fucking,1
Cecily,fucko,1
Cecily,get,2
Cecily,go,1
Cecily,gonna,1
Cecily,here,1
Cecily,how,1
Cecily,in,1
Cecily,is,1
Cecily,just,1
Cecily,mauer,1
Cecily,no,5
Cecily,off,1
Cecily,spouse,1
Cecily,step,1
Cecily,the,1
Cecily,you,2
Checkout Girl,god,1
Checkout Girl,my,1
Checkout Girl,oh,1
Children,bye,1
Cobel,a,58
Cobel,about,8
Cobel,abused,1
Cobel,access,1
Cobel,accommodate,1
Cobel,accomplished,1
Cobel,accountable,1
Cobel,actions,1
Cobel,adored,1
Cobel,advanced,1
Cobel,afraid,1
Cobel,after,1
Cobel,afternoon,1
Cobel,again,1
Cobel,aggressive,1
Cobel,airport,1
Cobel,alarmist,1
Cobel,alive,2
Cobel,all,9
Cobel,allies,1
Cobel,alone,1
Cobel,along,1
Cobel,already,1
Cobel,am,5
Cobel,an,6
Cobel,and,50
Cobel,angry,1
Cobel,announcement,1
Cobel,anyone,1
Cobel,apartment,1
Cobel,apology,1
Cobel,are,14
Cobel,areola,2
Cobel,around,2
Cobel,arrangements,1
Cobel,as,4
Cobel,asking,1
Cobel,ass,1
Cobel,assume,1
Cobel,at,13
Cobel,atheist,1
Cobel,attack,1
Cobel,attuned,1
Cobel,available,1
Cobel,availed,1
Cobel,away,1
Cobel,awful,1
Cobel,b,1
Cobel,babies,1
Cobel,baby,3
Cobel,back,6
Cobel,bad,5
Cobel,bath,1
Cobel,be,26
Cobel,beaten,1
Cobel,became,1
Cobel,because,2
Cobel,been,3
Cobel,before,7
Cobel,believe,1
Cobel,below,1
Cobel,benevolence,1
Cobel,besides,1
Cobel,between,1
Cobel,bins,2
Cobel,birth,2
Cobel,black,2
Cobel,bless,1
Cobel,blocks,1
Cobel,blueprints,1
Cobel,board,6
Cobel,body,1
Cobel,bomb,1
Cobel,book,2
Cobel,born,1
Cobel,both,4
Cobel,brain,1
Cobel,break,2
Cobel,breeze,1
Cobel,bring,1
Cobel,brought,1
Cobel,bruising,1
Cobel,building,3
Cobel,bulb,1
Cobel,but,11
Cobel,butter,1
Cobel,by,5
Cobel,call,1
Cobel,camera,1
Cobel,can,11
Cobel,car,1
Cobel,card,1
Cobel,care,4
Cobel,carpenter,1
Cobel,case,1
Cobel,casey,3
Cobel,catching,1
Cobel,catholic,1
Cobel,celebrate,1
Cobel,certainly,1
Cobel,chamomile,1
Cobel,chance,1
Cobel,change,1
Cobel,check,1
Cobel,cheer,1
Cobel,chicanery,1
Cobel,chicken,1
Cobel,chief,3
Cobel,child,2
Cobel,chip,4
Cobel,choice,1
Cobel,choose,1
Cobel,clark,1
Cobel,close,2
Cobel,cold,5
Cobel,color,1
Cobel,comb,1
Cobel,come,5
Cobel,coming,3
Cobel,company,3
Cobel,complete,1
Cobel,completed,2
Cobel,completing,1
Cobel,confer,1
Cobel,congratulations,1
Cobel,consciousness,1
Cobel,console,1
Cobel,continues,1
Cobel,contributing,1
Cobel,contrition,1
Cobel,control,1
Cobel,conversation,1
Cobel,convinced,1
Cobel,core,1
Cobel,cost,1
Cobel,cottage,1
Cobel,could,4
Cobel,counselor,1
Cobel,course,5
Cobel,cover,1
Cobel,cradling,1
Cobel,crane,1
Cobel,create,1
Cobel,cup,1
Cobel,cystitis,1
Cobel,daddy,1
Cobel,damage,2
Cobel,damn,1
Cobel,dandruff,1
Cobel,dark,1
Cobel,darling,1
Cobel,data,2
Cobel,date,2
Cobel,day,6
Cobel,days,1
Cobel,dead,1
Cobel,dearly,1
Cobel,decided,1
Cobel,decision,1
Cobel,dedication,1
Cobel,deeply,1
Cobel,deicing,1
Cobel,deliver,1
Cobel,department,6
Cobel,departments,1
Cobel,departure,1
Cobel,depending,1
Cobel,derail,1
Cobel,desk,4
Cobel,devon,2
Cobel,diagnostics,1
Cobel,dialectics,1
Cobel,did,12
Cobel,dies,1
Cobel,difference,1
Cobel,different,2
Cobel,dinner,1
Cobel,directed,1
Cobel,discard,1
Cobel,discovery,1
Cobel,disobedience,1
Cobel,dispose,1
Cobel,do,16
Cobel,does,2
Cobel,doing,3
Cobel,doll,1
Cobel,done,1
Cobel,door,2
